TypeID 	Mean Vector 	Cov Matrix
0 	[17.91198561018252, -19.489616738072687, 16.374788125109518, 16.457473888238923, -9.44520298449583] 	[[789.7202797159011, 0, 1188.6739505449311, 0, 0], [0, 2806.5436496268644, 0, 0, 609.8963461675803], [1188.6739505449311, 0, 3259.319239607973, 0, 0], [0, 0, 0, 626.6555104257878, 0], [0, 609.8963461675803, 0, 0, 231.7682507760435]]
1 	[-17.62019698382945, 14.563888354617553, 6.241057451414687, -5.954817244458596, -16.943522619441858] 	[[5682.925946360133, 2868.2020380316003, 0, 0, 0], [2868.2020380316003, 1748.681436633928, 0, 0, 0], [0, 0, 880.1584527404677, 0, 0], [0, 0, 0, 341.85554106879704, 0], [0, 0, 0, 0, 2108.660856384221]]
2 	[-13.500473461838277, -13.321286996185792, 15.188081976821401, -8.354873455911132, 0.7966611637009926] 	[[439.89826984258787, 0, 0, 175.77242062874183, 0], [0, 570.473565939414, 585.3709784444718, 0, 0], [0, 585.3709784444718, 1031.9479565231861, 0, 0], [175.77242062874183, 0, 0, 174.78096308999656, 0], [0, 0, 0, 0, 5.467454514230555]]
3 	[-2.5859245178952435, -5.080568175996133, 13.773429493504345, -19.069021655363105, -6.497358768514193] 	[[136.1231958857042, 0, 0, 0, 0], [0, 456.35980187957455, 0, 0, 269.35425909666128], [0, 0, 2188.6933140386554, 1187.3910827858547, 0], [0, 0, 1187.3910827858547, 1016.8991366212982, 0], [0, 269.35425909666128, 0, 0, 212.4024853638369]]
4 	[10.49394500938034, -7.516837621062068, 4.977661316443232, -10.167216761272119, -5.406152153590698] 	[[1708.1122810189313, 0, 0, 0, 310.41308100350727], [0, 196.05759469529764, 225.99047095972847, 0, 0], [0, 225.99047095972847, 601.8585386365588, 0, 0], [0, 0, 0, 2037.0422258800731, 0], [310.41308100350727, 0, 0, 0, 95.65058555543946]]
5 	[19.65415451928149, 11.551827230401472, 0.9226878474764888, -11.241682233385957, -14.380845301679752] 	[[4275.924234785188, 0, 0, 0, 1150.6307203089245], [0, 1932.7642123573316, 50.195570769336705, 0, 0], [0, 50.195570769336705, 3.158624467760998, 0, 0], [0, 0, 0, 416.55400740845266, 0], [1150.6307203089245, 0, 0, 0, 745.0208246777547]]
6 	[9.964511648516762, -8.432318033318957, -10.971798941884682, -13.054402553946986, -15.442353726917766] 	[[487.10153240233694, 0, 0, 561.72589557961987, 0], [0, 334.851054493428, 355.21495127032443, 0, 0], [0, 355.21495127032443, 539.9249339644281, 0, 0], [561.72589557961987, 0, 0, 1141.1225640560413, 0], [0, 0, 0, 0, 4517.225180617498]]
7 	[6.9353427228289455, -5.232947460949049, 2.550618699060955, -13.69943263637299, -0.7112643753563965] 	[[1143.4990843149853, 0, 0, 1490.5513925146897, 0], [0, 73.6541286174953, 0, 0, 7.2812290956249246], [0, 0, 33.321017647149475, 0, 0], [1490.5513925146897, 0, 0, 2245.380567623349, 0], [0, 7.2812290956249246, 0, 0, 1.7426237416287411]]
8 	[15.48972129864309, -11.565189701464838, -1.651905040481914, -15.125338198842623, -8.85661659302486] 	[[3707.6920520759204, 0, 0, 1399.3739025432853, 1313.3242656575262], [0, 671.1380966315944, 146.31042365089917, 0, 0], [0, 146.31042365089917, 40.96742192990045, 0, 0], [1399.3739025432853, 0, 0, 719.841657441509, 625.13653841768325], [1313.3242656575262, 0, 0, 625.13653841768325, 870.8591584043226]]
9 	[-20.26745340113765, -8.482524067478067, -1.6538832911088228, -0.5593545510999398, -20.302238085009648] 	[[5136.062016594906, 1677.0376286832861, 306.37609482886154, 0, 0], [1677.0376286832861, 1213.064867584349, 102.15583728782921, 0, 0], [306.37609482886154, 102.15583728782921, 19.04669598679655, 0, 0], [0, 0, 0, 5.846821834207248, 188.18206708685727], [0, 0, 0, 188.18206708685727, 8842.443113859032]]
10 	[-8.255374748538875, -0.055022880455183554, 18.466908435116338, -14.975350605854345, 5.321716130946559] 	[[463.33197544877845, 0, 0, 0, 0], [0, 0.06743692972625591, 6.9308944191306656, 0, 0], [0, 6.9308944191306656, 1657.0374246050992, 0, 0], [0, 0, 0, 877.9496199713511, 243.54416124025289], [0, 0, 0, 243.54416124025289, 170.67836805861114]]
11 	[-18.539706686349724, -7.248284559711379, -2.1456846943052383, 10.988078904808006, -2.564625545385244] 	[[8529.065862916716, 2079.175950974362, 0, 0, 0], [2079.175950974362, 949.2469526684572, 0, 0, 0], [0, 0, 11.87086153917584, 94.993776487758851, 0], [0, 0, 94.993776487758851, 2032.8837573460733, 0], [0, 0, 0, 0, 79.94214681544354]]
12 	[6.099320436451968, 18.764019622934548, -15.12732718843636, -11.948238045532541, -19.55918269105242] 	[[927.0131706928343, 0, 0, 0, 0], [0, 2084.864065164432, 0, 0, 0], [0, 0, 2844.678611703118, 0, 0], [0, 0, 0, 3330.3217253089374, 0], [0, 0, 0, 0, 7449.901979964946]]
13 	[-2.405164558016388, 2.9658857916243804, -4.589014161855978, 13.69333979055751, 4.057219039346563] 	[[40.153801567915174, 0, 0, 0, 76.884487788830683], [0, 50.42879783577101, 0, 370.856525171648, 0], [0, 0, 303.6244325291686, 0, 0], [0, 370.856525171648, 0, 2818.8678157822437, 0], [76.884487788830683, 0, 0, 0, 283.19094269770864]]
14 	[-10.190655650904482, -9.192241841558996, 6.068029703054307, 20.835712021454924, 6.860774039892249] 	[[1728.4017667419303, 542.09968294261341, 0, 0, 851.41142522445114], [542.09968294261341, 398.1363290303555, 0, 0, 295.12370607098876], [0, 0, 286.6583096138325, 0, 0], [0, 0, 0, 3556.976986096929, 0], [851.41142522445114, 295.12370607098876, 0, 0, 556.5226469504853]]
15 	[-14.35784243928795, 4.504068845549561, -14.515261385311955, 1.1412135835476747, 11.363624520898902] 	[[929.0956437325148, 0, 0, 0, 0], [0, 295.9006711358258, 522.07840159364423, 0, 0], [0, 522.07840159364423, 1845.4819673406107, 0, 0], [0, 0, 0, 22.873282327517828, 0], [0, 0, 0, 0, 616.640193907796]]
