TypeID 	Mean Vector 	Cov Matrix
0 	[18.322249040704897, -17.63424654433055, -6.544536045771455, 14.855314847945017, -0.4864870967059325] 	[[67.24220884629696, 78.375689711714855, 16.962310792187775, 37.855858913250216, 1.7292374652544649], [78.375689711714855, 109.11280175329772, 19.323403649617024, 41.265391091353692, 1.8901249112806766], [16.962310792187775, 19.323403649617024, 7.4024797637866815, 11.231894006564747, 0.57681262421877133], [37.855858913250216, 41.265391091353692, 11.231894006564747, 34.58093959825017, 1.0983111654033484], [1.7292374652544649, 1.8901249112806766, 0.57681262421877133, 1.0983111654033484, 0.060065670121437355]]
1 	[12.628113881938148, -20.045232276713435, 3.3716003781920207, -13.690029980499528, 3.2902792052040084] 	[[10.918991790238618, 30.150797159422019, 1.8813935028052353, 14.497668797174265, 3.1279236783812951], [30.150797159422019, 121.64659004886012, 7.9402902137891225, 45.423328677873208, 10.726279350666459], [1.8813935028052353, 7.9402902137891225, 0.6171666851539822, 3.1934131499040994, 0.85711574689578063], [14.497668797174265, 45.423328677873208, 3.1934131499040994, 22.372726285298043, 5.5987724115687758], [3.1279236783812951, 10.726279350666459, 0.85711574689578063, 5.5987724115687758, 1.5820331093520927]]
2 	[7.252019180745865, 20.57188982374648, 11.642933551290739, -4.865694184028293, 7.317033583849209] 	[[8.691472000293523, 21.300884957812467, 8.846109716425973, 4.4602557955073694, 3.8036470349325344], [21.300884957812467, 112.29941229308831, 34.675898118748677, 13.887268367352089, 12.415058128338982], [8.846109716425973, 34.675898118748677, 14.880040888874223, 7.6384915483788838, 5.4298409936018697], [4.4602557955073694, 13.887268367352089, 7.6384915483788838, 4.752639090178896, 3.1534008695469584], [3.8036470349325344, 12.415058128338982, 5.4298409936018697, 3.1534008695469584, 2.593247014706914]]
3 	[5.341471772322187, -17.6532262402222, 4.32272802489145, 6.899149622923559, 0.7315912337495156] 	[[5.0881054608038205, 16.107162975703265, 4.2709018354256196, 3.5732619305351121, 0.58264987740760654], [16.107162975703265, 82.69954592832795, 14.821942752065995, 14.367604169796335, 2.1726114252120547], [4.2709018354256196, 14.821942752065995, 5.7858680214619, 4.0475471834927976, 0.47377327184996731], [3.5732619305351121, 14.367604169796335, 4.0475471834927976, 3.995569936836256, 0.36806528859583815], [0.58264987740760654, 2.1726114252120547, 0.47377327184996731, 0.36806528859583815, 0.08195239107925179]]
4 	[14.133765452107482, 5.448564199169699, 17.67697836476345, 16.525744525243958, -5.488427776785542] 	[[15.708098489832157, 11.716692046561084, 18.392872688475432, 19.216270903247217, 10.292465965550409], [11.716692046561084, 9.628485059707776, 14.533104951552771, 12.787267916305316, 8.3427332280859083], [18.392872688475432, 14.533104951552771, 29.020768637815312, 21.589901714180971, 13.383198850895683], [19.216270903247217, 12.787267916305316, 21.589901714180971, 38.013414678491344, 13.161319864094455], [10.292465965550409, 8.3427332280859083, 13.383198850895683, 13.161319864094455, 9.14944829597459]]
5 	[12.582730936209366, -5.4687476649669335, -7.919624368084449, 1.4073669923781438, -20.404745871872784] 	[[16.252345190209226, 5.3289985961879243, 9.912813284596723, 1.4043357859054071, 32.86940855094619], [5.3289985961879243, 4.462207891996732, 7.1292231809972177, 0.88036042514128232, 19.540348346078328], [9.912813284596723, 7.1292231809972177, 16.7256815795378, 2.1283418198285142, 35.28909866960025], [1.4043357859054071, 0.88036042514128232, 2.1283418198285142, 0.3317038561010104, 4.2322551436962907], [32.86940855094619, 19.540348346078328, 35.28909866960025, 4.2322551436962907, 135.64811318994032]]
6 	[-16.128635916642885, -14.352900028450623, 1.1316158281251028, -8.324404962504426, 9.85026525505842] 	[[71.62429558695403, 27.789289038989253, 2.901916925640152, 20.947061405853908, 18.327349614801928], [27.789289038989253, 18.574389937216978, 2.0361210509943106, 7.6252896704110658, 8.4643911377510435], [2.901916925640152, 2.0361210509943106, 0.2639137832409602, 0.91634384462812379, 0.89515697832022845], [20.947061405853908, 7.6252896704110658, 0.91634384462812379, 7.422334636757193, 5.1144889135543208], [18.327349614801928, 8.4643911377510435, 0.89515697832022845, 5.1144889135543208, 7.140498522637104]]
7 	[-20.03617681959928, -3.6287138649355164, -6.247168419093587, 11.721073227434104, 3.986679272250317] 	[[77.96059472392115, 12.040902844798831, 19.545250271929817, 37.397306844717136, 13.139633588543139], [12.040902844798831, 4.6654176852531215, 3.4747518695359156, 7.9170087967651908, 2.8634343857061242], [19.545250271929817, 3.4747518695359156, 6.891058133276515, 13.09043530122212, 3.687922363915868], [37.397306844717136, 7.9170087967651908, 13.09043530122212, 33.283333002841054, 7.395132623361893], [13.139633588543139, 2.8634343857061242, 3.687922363915868, 7.395132623361893, 3.6624169044034383]]
8 	[13.206319902240928, 2.5318369945540056, -0.10917841992270283, -12.53015451022334, 0.8310695357367983] 	[[47.10000524893295, 7.2799295804379502, 0.18027649888248462, 43.084156065612405, 2.422975997816597], [7.2799295804379502, 1.4908993529692753, 0.024892061374173852, 5.9259942800744323, 0.38750116114667454], [0.18027649888248462, 0.024892061374173852, 0.0010822363771475594, 0.20659761678937236, 0.012372435969003521], [43.084156065612405, 5.9259942800744323, 0.20659761678937236, 45.98310928383752, 2.1824636072025974], [2.422975997816597, 0.38750116114667454, 0.012372435969003521, 2.1824636072025974, 0.24652027777274335]]
9 	[-3.3077395598001864, 19.492609432383915, -1.532986026838465, 20.41258666775478, -5.454463408280345] 	[[3.554941584231705, 9.5916724618839826, 0.8201658347906593, 16.129160889666121, 3.087386998412831], [9.5916724618839826, 30.080568074650913, 2.8163472918241306, 48.278236574986735, 10.592057215685532], [0.8201658347906593, 2.8163472918241306, 0.3680558130506408, 6.181611306645995, 1.048641493872895], [16.129160889666121, 48.278236574986735, 6.181611306645995, 122.7998037016509, 19.753274871307891], [3.087386998412831, 10.592057215685532, 1.048641493872895, 19.753274871307891, 6.593719834843422]]
